N0_N,Fresult,N
0.005,0.004350663476180117,200
0.01,0.0036980639547531,200
0.015,0.004350663476180117,200
0.02,0.006961061561888188,200
0.025,0.008483793778551229,200
0.03,0.010224059169023277,200
0.035,0.01000652599521427,200
0.04,0.011746791385686317,200
0.045,0.014357189471394388,200
0.05,0.015009788992821405,200
0.055,0.01740265390472047,200
0.06,0.01783772025233848,200
0.065,0.01740265390472047,200
0.07,0.018707852947574505,200
0.075,0.023058516423754623,200
0.08,0.02479878181422667,200
0.085,0.025668914509462692,200
0.09,0.02632151403088971,200
0.095,0.027626713073743744,200
0.1,0.02893191211659778,200
0.105,0.03001957798564281,200
0.11,0.0332825755927779,200
0.115,0.035022840983249946,200
0.12,0.03654557319991299,200
0.125,0.038285838590385035,200
0.13,0.03937350445943006,200
0.135,0.040243637154666084,200
0.14,0.041331303023711116,200
0.145,0.04394170110941919,200
0.15,0.045029366978464214,200
0.155,0.046117032847509246,200
0.16,0.04568196649989123,200
0.165,0.05068522949749837,200
0.17,0.051337829018925384,200
0.175,0.051337829018925384,200
0.18,0.0517728953665434,200
0.185,0.05351316075701545,200
0.19,0.05503589297367849,200
0.195,0.05503589297367849,200
0.2,0.05742875788557755,200
0.205,0.060256689145094626,200
0.21,0.060474222318903634,200
0.215,0.06243202088318468,200
0.22,0.0628670872308027,200
0.225,0.0626495540569937,200
0.23,0.06417228627365673,200
0.235,0.06765281705460083,200
0.24,0.06700021753317381,200
0.245,0.06895801609745486,200
0.25,0.06982814879269089,200
0.255,0.07091581466173591,200
0.26,0.07178594735697194,200
0.265,0.07156841418316293,200
0.27,0.07091581466173591,200
0.275,0.07352621274744399,200
0.28,0.07700674352838809,200
0.285,0.07831194257124212,200
0.29,0.0778768762236241,200
0.295,0.07874700891886012,200
0.3,0.07896454209266913,200
0.305,0.08026974113552317,200
0.31,0.08113987383075918,200
0.315,0.08201000652599522,200
0.32,0.08331520556884925,200
0.325,0.08462040461170328,200
0.33,0.0848379377855123,200
0.335,0.0850554709593213,200
0.34,0.08701326952360235,200
0.345,0.08723080269741136,200
0.35,0.0885360017402654,200
0.355,0.0887535349140744,200
0.36,0.09071133347835544,200
0.365,0.09136393299978246,200
0.37,0.09179899934740048,200
0.375,0.09092886665216446,200
0.38,0.09419186425929954,200
0.385,0.09462693060691756,200
0.39,0.09440939743310856,200
0.395,0.09440939743310856,200
0.4,0.09680226234500762,200
0.405,0.09854252773547965,200
0.41,0.09767239504024364,200
0.415,0.10202305851642375,200
0.42,0.10050032629976072,200
0.425,0.10289319121165978,200
0.43,0.10332825755927778,200
0.435,0.10463345660213183,200
0.44,0.10572112247117685,200
0.445,0.1072438546878399,200
0.45,0.10789645420926691,200
0.455,0.10680878834022188,200
0.46,0.11007178594735698,200
0.465,0.10854905373069393,200
0.47,0.11028931912116598,200
0.475,0.11028931912116598,200
0.48,0.11115945181640201,200
0.485,0.11028931912116598,200
0.49,0.11050685229497498,200
0.495,0.11072438546878399,200
0.5,0.11311725038068306,200
0.505,0.11311725038068306,200
0.51,0.11442244942353709,200
0.515,0.11355231672830107,200
0.52,0.11355231672830107,200
0.525,0.1148575157711551,200
0.53,0.11463998259734609,200
0.535,0.11463998259734609,200
0.54,0.11659778116162715,200
0.545,0.11616271481400914,200
0.55,0.11551011529258212,200
0.555,0.11594518164020014,200
0.56,0.11681531433543615,200
0.565,0.11529258211877311,200
0.57,0.11681531433543615,200
0.575,0.11311725038068306,200
0.58,0.110941918642593,200
0.585,0.10985425277354796,200
0.59,0.11355231672830107,200
0.595,0.11137698499021101,200
0.6,0.11115945181640201,200
0.605,0.11007178594735698,200
0.61,0.110941918642593,200
0.615,0.10811398738307591,200
0.62,0.11115945181640201,200
0.625,0.10920165325212094,200
0.63,0.11202958451163803,200
0.635,0.10833152055688493,200
0.64,0.10789645420926691,200
0.645,0.10789645420926691,200
0.65,0.10680878834022188,200
0.655,0.10833152055688493,200
0.66,0.10854905373069393,200
0.665,0.1072438546878399,200
0.67,0.10593865564498586,200
0.675,0.1072438546878399,200
0.68,0.10332825755927778,200
0.685,0.10332825755927778,200
0.69,0.10311072438546878,200
0.695,0.10224059169023277,200
0.7,0.10158799216880575,200
0.705,0.09832499456167065,200
0.71,0.0965847291711986,200
0.715,0.09745486186643464,200
0.72,0.09941266043071569,200
0.725,0.09593212964977159,200
0.73,0.09462693060691756,200
0.735,0.09353926473787252,200
0.74,0.09136393299978246,200
0.745,0.09092886665216446,200
0.75,0.09136393299978246,200
0.755,0.08744833587122036,200
0.76,0.08766586904502936,200
0.765,0.08810093539264738,200
0.77,0.0889710680878834,200
0.775,0.08636067000217533,200
0.78,0.08657820317598433,200
0.785,0.08353273874265825,200
0.79,0.08440287143789428,200
0.795,0.08244507287361323,200
0.8,0.08092234065695018,200
0.805,0.07744180987600609,200
0.81,0.07852947574505112,200
0.815,0.07678921035457907,200
0.82,0.07483141179029802,200
0.825,0.07483141179029802,200
0.83,0.07048074831411791,200
0.835,0.06961061561888188,200
0.84,0.06721775070698281,200
0.845,0.06830541657602784,200
0.85,0.06525995214270176,200
0.855,0.06221448770937568,200
0.86,0.06330215357842071,200
0.865,0.06134435501413966,200
0.87,0.05960408962366761,200
0.875,0.0593865564498586,200
0.88,0.0554709593212965,200
0.885,0.05612355884272351,200
0.89,0.05220796171416141,200
0.895,0.05112029584511638,200
0.9,0.04872743093321732,200
0.905,0.04633456602131825,200
0.91,0.04220143571894714,200
0.915,0.04198390254513813,200
0.92,0.039808570807048076,200
0.925,0.036763106373721995,200
0.93,0.03415270828801392,200
0.935,0.03175984337611486,200
0.94,0.030889710680878833,200
0.945,0.030237111159451817,200
0.95,0.028061779421361756,200
0.955,0.026539047204698716,200
0.96,0.023928649118990647,200
0.965,0.020230585164237546,200
0.97,0.01740265390472047,200
0.975,0.0147922558190124,200
0.98,0.01261692408092234,200
0.985,0.00891886012616924,200
0.99,0.006961061561888188,200
0.995,0.006090928866652165,200
1,0,200
